exchange	pair	timestamp	lastClose	probe_id	probe_time,exchange,pair,timestamp,lastClose,probe_id,probe_time
,binance,BTC/USDT,1742241537145.0,84472.54,,1742241534.8788862
,binance,ETH/USDT,1742241537126.0,1941.51,,1742241534.8788862
,binance,XRP/USDT,1742241537126.0,2.3609,,1742241534.8788862
,binance,LINK/USDT,1742241537013.0,14.13,,1742241534.8788862
,binance,DOGE/USDT,1742241537142.0,0.17504,,1742241534.8788862
,binance,BCH/USDT,1742241537004.0,340.2,,1742241534.8788862
,binance,SOL/USDT,1742241537142.0,129.89,,1742241534.8788862
,binance,AVAX/USDT,1742241537144.0,18.93,,1742241534.8788862
,binance,NEAR/USDT,1742241537143.0,2.671,,1742241534.8788862
,binance,PEPE/USDT,1742241537141.0,7.44e-06,,1742241534.8788862
,binance,BONK/USDT,1742241537137.0,1.128e-05,,1742241534.8788862
,binance,WIF/USDT,1742241536259.0,0.508,,1742241534.8788862
,bybit,WIF/USDT,,0.508,,1742241534.8788862
,bybit,DOGE/USDT,,0.17507,,1742241534.8788862
,bybit,XRP/USDT,,2.3603,,1742241534.8788862
,bybit,BTC/USDT,,84448.34,,1742241534.8788862
,bybit,NEAR/USDT,,2.67,,1742241534.8788862
,bybit,BONK/USDT,,1.128e-05,,1742241534.8788862
,bybit,LINK/USDT,,14.13,,1742241534.8788862
,bybit,PEPE/USDT,,7.45e-06,,1742241534.8788862
,bybit,AVAX/USDT,,18.94,,1742241534.8788862
,bybit,BCH/USDT,,340.1,,1742241534.8788862
,bybit,SOL/USDT,,129.87,,1742241534.8788862
,bybit,ETH/USDT,,1941.05,,1742241534.8788862
,okx,BONK/USDT,1742241545111.0,1.1286e-05,,1742241534.8788862
,okx,BCH/USDT,1742241544709.0,340.0,,1742241534.8788862
,okx,SOL/USDT,1742241545036.0,129.86,,1742241534.8788862
,okx,DOGE/USDT,1742241545111.0,0.17493,,1742241534.8788862
,okx,XRP/USDT,1742241545010.0,2.3596,,1742241534.8788862
,okx,BTC/USDT,1742241545115.0,84424.3,,1742241534.8788862
,okx,PEPE/USDT,1742241545112.0,7.442e-06,,1742241534.8788862
,okx,LINK/USDT,1742241545022.0,14.112,,1742241534.8788862
,okx,ETH/USDT,1742241545066.0,1940.55,,1742241534.8788862
,okx,WIF/USDT,1742241545111.0,0.5076,,1742241534.8788862
,okx,NEAR/USDT,1742241545121.0,2.67,,1742241534.8788862
,okx,AVAX/USDT,1742241545115.0,18.922,,1742241534.8788862
,kucoin,BONK/USDT,1742241546009.0,1.1272e-05,,1742241534.8788862
,kucoin,BCH/USDT,1742241546009.0,339.96,,1742241534.8788862
,kucoin,DOGE/USDT,1742241546009.0,0.17499,,1742241534.8788862
,kucoin,BTC/USDT,1742241546009.0,84429.0,,1742241534.8788862
