timestamp,open,high,low,close,volume
1712073600000.0,2.572,2.626,2.54,2.589,243703.56
1712077200000.0,2.589,2.602,2.56,2.565,141084.66
1712080800000.0,2.568,2.6,2.559,2.588,51495.03
1712084400000.0,2.589,2.646,2.584,2.616,96577.92
1712088000000.0,2.612,2.635,2.591,2.609,30620.39
1712091600000.0,2.613,2.65,2.539,2.539,37414.88
1712095200000.0,2.539,2.58,2.507,2.537,71926.0
1712098800000.0,2.537,2.56,2.46,2.477,66891.25
1712102400000.0,2.476,2.476,2.301,2.333,135729.41
1712106000000.0,2.333,2.395,2.306,2.388,43003.42
1712109600000.0,2.395,2.414,2.349,2.363,13599.45
1712113200000.0,2.359,2.386,2.353,2.368,15116.67
1712116800000.0,2.367,2.413,2.366,2.38,26348.12
1712120400000.0,2.38,2.38,2.338,2.349,14684.03
1712124000000.0,2.347,2.389,2.346,2.368,10812.86
1712127600000.0,2.368,2.384,2.361,2.363,5466.26
1712131200000.0,2.363,2.4,2.346,2.394,8130.34
1712134800000.0,2.388,2.46,2.387,2.438,28281.79
1712138400000.0,2.433,2.433,2.371,2.379,15502.21
1712142000000.0,2.374,2.388,2.353,2.358,36591.21
1712145600000.0,2.352,2.357,2.309,2.314,9185.73
1712149200000.0,2.311,2.314,2.232,2.239,40076.44
1712152800000.0,2.24,2.327,2.24,2.298,22622.39
1712156400000.0,2.296,2.296,2.201,2.213,71177.32
1712160000000.0,2.213,2.264,2.21,2.259,81676.82
1712163600000.0,2.255,2.268,2.182,2.199,33464.04
1712167200000.0,2.194,2.209,2.142,2.184,75517.96
1712170800000.0,2.176,2.179,2.145,2.163,22070.09
1712174400000.0,2.155,2.156,2.135,2.149,76148.65
1712178000000.0,2.146,2.163,2.12,2.161,85267.18
1712181600000.0,2.159,2.171,2.14,2.163,84940.85
1712185200000.0,2.158,2.169,2.149,2.155,28606.45
1712188800000.0,2.154,2.248,2.147,2.238,118134.09
1712192400000.0,2.236,2.252,2.15,2.174,76840.65
1712196000000.0,2.172,2.183,2.131,2.164,80155.5
1712199600000.0,2.162,2.165,2.131,2.146,107831.12
1712203200000.0,2.145,2.156,2.105,2.116,97035.03
1712206800000.0,2.113,2.15,2.112,2.142,45422.93
1712210400000.0,2.141,2.191,2.14,2.167,80671.55
1712214000000.0,2.166,2.208,2.16,2.169,30775.65
1712217600000.0,2.17,2.196,2.162,2.177,36118.28
1712221200000.0,2.177,2.182,2.15,2.154,15169.49
1712224800000.0,2.156,2.166,2.139,2.149,30321.74
1712228400000.0,2.149,2.258,2.138,2.184,114180.22
1712232000000.0,2.18,2.25,2.179,2.228,57947.45
1712235600000.0,2.227,2.266,2.193,2.226,93553.63
1712239200000.0,2.226,2.256,2.212,2.241,67003.42
1712242800000.0,2.239,2.239,2.201,2.216,73210.56
1712246400000.0,2.219,2.262,2.212,2.231,51838.6
1712250000000.0,2.23,2.276,2.23,2.268,80591.56
1712253600000.0,2.267,2.279,2.237,2.253,78446.99
1712257200000.0,2.254,2.292,2.231,2.255,137791.83
1712260800000.0,2.256,2.262,2.195,2.226,62556.72
1712264400000.0,2.222,2.235,2.196,2.207,45446.7
1712268000000.0,2.209,2.223,2.18,2.189,43038.14
1712271600000.0,2.189,2.205,2.17,2.18,75740.22
1712275200000.0,2.18,2.219,2.165,2.215,39287.65
1712278800000.0,2.213,2.213,2.15,2.159,19330.03
1712282400000.0,2.162,2.162,2.1,2.114,49919.77
1712286000000.0,2.114,2.141,2.101,2.135,16184.18
1712289600000.0,2.134,2.134,2.057,2.076,42655.14
1712293200000.0,2.078,2.083,2.025,2.063,75517.8
1712296800000.0,2.059,2.098,2.057,2.072,59283.02
1712300400000.0,2.072,2.078,2.056,2.076,24796.89
1712304000000.0,2.074,2.126,2.071,2.08,8035.71
1712307600000.0,2.087,2.098,2.06,2.076,8118.09
1712311200000.0,2.077,2.086,2.046,2.074,9162.01
1712314800000.0,2.079,2.09,2.034,2.042,11852.74
1712318400000.0,2.045,2.114,2.02,2.107,31911.15
1712322000000.0,2.106,2.152,2.077,2.124,23354.02
1712325600000.0,2.119,2.158,2.108,2.158,27575.51
1712329200000.0,2.159,2.164,2.126,2.16,13584.23
1712332800000.0,2.164,2.174,2.141,2.146,13274.3
1712336400000.0,2.154,2.175,2.139,2.151,8165.78
1712340000000.0,2.158,2.198,2.152,2.196,16438.37
1712343600000.0,2.194,2.225,2.18,2.185,32598.6
1712347200000.0,2.184,2.218,2.18,2.192,21020.76
1712350800000.0,2.195,2.199,2.18,2.192,34930.43
1712354400000.0,2.19,2.195,2.175,2.18,15971.15
1712358000000.0,2.181,2.19,2.174,2.179,3628.15
1712361600000.0,2.176,2.229,2.167,2.22,44418.12
1712365200000.0,2.216,2.216,2.188,2.192,19827.0
1712368800000.0,2.195,2.203,2.149,2.186,52755.68
1712372400000.0,2.186,2.302,2.186,2.221,88800.21
1712376000000.0,2.233,2.233,2.176,2.198,8521.43
1712379600000.0,2.199,2.247,2.199,2.211,21170.57
1712383200000.0,2.206,2.224,2.201,2.209,2116.86
1712386800000.0,2.21,2.21,2.183,2.202,2887.53
1712390400000.0,2.2,2.229,2.197,2.223,3992.43
1712394000000.0,2.223,2.24,2.188,2.188,8076.44
1712397600000.0,2.191,2.204,2.184,2.195,4590.23
1712401200000.0,2.189,2.193,2.164,2.169,4185.67
1712404800000.0,2.17,2.179,2.145,2.172,12055.83
1712408400000.0,2.172,2.172,2.147,2.152,3174.81
1712412000000.0,2.152,2.18,2.148,2.166,20092.43
1712415600000.0,2.168,2.187,2.16,2.168,7497.77
1712419200000.0,2.17,2.195,2.167,2.194,7074.93
1712422800000.0,2.185,2.188,2.173,2.175,11435.87
1712426400000.0,2.174,2.183,2.169,2.178,18037.61
1712430000000.0,2.173,2.185,2.166,2.173,9343.81
1712433600000.0,2.173,2.183,2.169,2.183,4167.4
1712437200000.0,2.187,2.192,2.163,2.172,2483.44
1712440800000.0,2.167,2.2,2.166,2.199,4261.56
1712444400000.0,2.2,2.213,2.185,2.186,16235.25
1712448000000.0,2.186,2.282,2.182,2.249,26738.84
1712451600000.0,2.248,2.275,2.234,2.262,17256.92
1712455200000.0,2.262,2.31,2.262,2.284,17358.19
1712458800000.0,2.289,2.29,2.269,2.28,9722.26
1712462400000.0,2.277,2.282,2.241,2.263,13806.65
1712466000000.0,2.26,2.273,2.255,2.271,5321.42
1712469600000.0,2.268,2.271,2.24,2.24,4251.14
1712473200000.0,2.242,2.25,2.233,2.242,6305.46
1712476800000.0,2.245,2.257,2.23,2.257,9117.8
1712480400000.0,2.256,2.259,2.232,2.232,7232.83
1712484000000.0,2.233,2.296,2.231,2.267,6104.59
1712487600000.0,2.272,2.316,2.258,2.293,13751.48
1712491200000.0,2.292,2.304,2.27,2.282,18300.05
1712494800000.0,2.283,2.32,2.282,2.294,31134.63
1712498400000.0,2.291,2.292,2.269,2.286,16064.48
1712502000000.0,2.285,2.306,2.265,2.265,25842.44
1712505600000.0,2.268,2.3,2.261,2.288,56667.07
1712509200000.0,2.288,2.291,2.253,2.261,35138.88
1712512800000.0,2.26,2.264,2.234,2.255,23197.47
1712516400000.0,2.247,2.257,2.233,2.238,18655.46
1712520000000.0,2.243,2.255,2.242,2.246,12959.71
1712523600000.0,2.247,2.257,2.227,2.23,14242.03
1712527200000.0,2.231,2.242,2.221,2.239,12490.59
1712530800000.0,2.237,2.26,2.229,2.249,21080.96
1712534400000.0,2.243,2.243,2.2,2.225,21678.67
1712538000000.0,2.221,2.253,2.22,2.224,37084.67
1712541600000.0,2.221,2.233,2.209,2.213,19955.97
1712545200000.0,2.207,2.219,2.2,2.207,17665.4
1712548800000.0,2.207,2.212,2.198,2.202,10725.99
1712552400000.0,2.202,2.233,2.202,2.229,10853.23
1712556000000.0,2.234,2.236,2.21,2.215,6460.09
1712559600000.0,2.218,2.279,2.216,2.268,23017.36
1712563200000.0,2.271,2.319,2.269,2.319,31923.02
