timestamp,open,high,low,close,volume
1648137600000.0,0.43,0.94,0.42,0.6798,11539268.4
1648141200000.0,0.6798,1.0998,0.65,0.9107,15875595.8
1648144800000.0,0.9206,0.9399,0.73,0.83,8805741.4
1648148400000.0,0.83,0.9351,0.8007,0.8255,5097010.4
1648152000000.0,0.8291,0.8497,0.72,0.7594,5592980.0
1648155600000.0,0.7668,0.82,0.742,0.817,3738095.4
1648159200000.0,0.817,0.92,0.794,0.821,6920583.1
1648162800000.0,0.8251,0.86,0.7255,0.732,4331851.2
1648166400000.0,0.7288,0.7987,0.7288,0.7469,2235411.2
1648170000000.0,0.7419,0.837,0.73,0.7834,2105065.5
1648173600000.0,0.7815,0.8248,0.7501,0.7631,2045112.9
1648177200000.0,0.763,0.837,0.74,0.8093,2308280.1
1648180800000.0,0.8097,0.8102,0.7501,0.7726,1938169.5
1648184400000.0,0.7742,0.7774,0.7033,0.72,1565584.9
1648188000000.0,0.7199,0.7225,0.655,0.6632,1900148.1
1648191600000.0,0.6629,0.6975,0.6501,0.6518,1398314.7
1648195200000.0,0.6501,0.7,0.65,0.6563,1395774.7
1648198800000.0,0.6532,0.6895,0.6131,0.6281,1775276.1
1648202400000.0,0.6226,0.634,0.611,0.6316,1046495.9
1648206000000.0,0.6254,0.6827,0.607,0.6739,2405864.5
1648209600000.0,0.6739,0.7762,0.6365,0.7447,3215196.5
1648213200000.0,0.7504,0.84,0.7474,0.7741,4842641.9
1648216800000.0,0.7736,0.7847,0.7054,0.7806,2219020.1
1648220400000.0,0.7699,0.7847,0.6937,0.71,1409100.7
1648224000000.0,0.7042,0.75,0.675,0.6898,1638158.0
1648227600000.0,0.6919,0.73,0.661,0.6759,1667543.2
1648231200000.0,0.6748,0.69,0.6568,0.6719,1052856.0
1648234800000.0,0.6665,0.672,0.6316,0.6598,1081900.8
1648238400000.0,0.6598,0.7288,0.6452,0.6647,1331911.2
1648242000000.0,0.6646,0.6815,0.642,0.6428,962360.5
1648245600000.0,0.6423,0.6439,0.6229,0.6359,1067844.2
1648249200000.0,0.6359,0.6489,0.6279,0.6308,658469.1
1648252800000.0,0.6284,0.633,0.6095,0.6242,978880.9
1648256400000.0,0.6267,0.6446,0.61,0.6254,593818.2
1648260000000.0,0.6254,0.6415,0.6164,0.638,412827.2
1648263600000.0,0.638,0.6688,0.63,0.632,769575.9
1648267200000.0,0.6321,0.665,0.624,0.6324,530790.7
1648270800000.0,0.632,0.665,0.63,0.6611,410921.8
1648274400000.0,0.6636,0.665,0.635,0.6538,204633.3
1648278000000.0,0.6516,0.69,0.6412,0.685,419804.1
1648281600000.0,0.6849,0.6955,0.6651,0.6852,554944.2
1648285200000.0,0.685,0.6903,0.645,0.6497,518382.9
1648288800000.0,0.6456,0.6678,0.6451,0.6674,449835.2
1648292400000.0,0.6678,0.6765,0.663,0.663,365493.9
1648296000000.0,0.6627,0.6643,0.637,0.6406,342980.8
1648299600000.0,0.6369,0.6428,0.6216,0.6347,531369.9
1648303200000.0,0.6348,0.6379,0.6105,0.6202,723641.3
1648306800000.0,0.6203,0.6313,0.62,0.6233,326686.6
1648310400000.0,0.6219,0.635,0.6199,0.6214,431237.6
1648314000000.0,0.6208,0.6296,0.6145,0.6235,322490.1
