timestamp,open,high,low,close,volume
1662652800000.0,5.271,5.392,5.233,5.295,1785.569
1662656400000.0,5.28,5.325,5.265,5.282,1034.902
1662660000000.0,5.303,5.376,5.303,5.323,1148.431
1662663600000.0,5.328,5.369,5.298,5.369,1992.772
1662667200000.0,5.371,5.422,5.319,5.32,7271.062
1662670800000.0,5.32,5.346,5.296,5.318,683.087
1662674400000.0,5.318,5.359,5.283,5.317,332.096
1662678000000.0,5.321,5.388,5.284,5.303,2340.982
1662681600000.0,5.298,5.369,5.298,5.357,290.887
1662685200000.0,5.34,5.34,5.271,5.274,3155.246
1662688800000.0,5.292,5.308,5.266,5.266,1384.457
1662692400000.0,5.297,5.39,5.296,5.361,911.69
1662696000000.0,5.397,5.5,5.397,5.471,1078.715
1662699600000.0,5.471,5.497,5.444,5.467,227.349
1662703200000.0,5.496,5.539,5.432,5.486,1499.481
1662706800000.0,5.482,5.55,5.411,5.478,1600.056
1662710400000.0,5.457,5.521,5.457,5.485,381.942
1662714000000.0,5.462,5.501,5.454,5.501,288.925
1662717600000.0,5.485,5.588,5.485,5.588,1005.454
1662721200000.0,5.584,5.584,5.464,5.482,406.765
1662724800000.0,5.488,5.687,5.473,5.571,4210.735
1662728400000.0,5.577,5.602,5.53,5.573,2547.378
1662732000000.0,5.611,5.635,5.565,5.591,133.957
1662735600000.0,5.583,5.61,5.558,5.558,711.787
1662739200000.0,5.525,5.532,5.486,5.505,580.028
1662742800000.0,5.521,5.531,5.451,5.472,653.501
1662746400000.0,5.472,5.496,5.466,5.49,521.195
1662750000000.0,5.495,5.526,5.493,5.524,251.354
1662753600000.0,5.513,5.554,5.485,5.53,270.643
1662757200000.0,5.52,5.539,5.5,5.506,262.392
1662760800000.0,5.506,5.531,5.495,5.531,215.987
1662764400000.0,5.519,5.532,5.478,5.502,423.907
1662768000000.0,5.501,5.517,5.473,5.505,1166.365
1662771600000.0,5.523,5.578,5.523,5.554,765.481
1662775200000.0,5.564,5.719,5.535,5.616,3448.593
1662778800000.0,5.607,5.68,5.597,5.62,4926.84
1662782400000.0,5.652,5.653,5.594,5.594,1317.361
1662786000000.0,5.626,5.631,5.58,5.58,205.616
1662789600000.0,5.587,5.61,5.568,5.588,56.043
1662793200000.0,5.592,5.592,5.47,5.471,472.192
1662796800000.0,5.529,5.738,5.529,5.627,3501.16
1662800400000.0,5.602,5.633,5.583,5.606,907.815
1662804000000.0,5.597,5.701,5.597,5.634,83.631
1662807600000.0,5.656,5.656,5.611,5.611,64.247
1662811200000.0,5.61,5.625,5.569,5.599,399.766
1662814800000.0,5.578,5.583,5.534,5.546,523.448
1662818400000.0,5.533,5.558,5.517,5.54,90.504
1662822000000.0,5.561,5.562,5.508,5.508,25.187
1662825600000.0,5.518,5.576,5.497,5.524,673.733
1662829200000.0,5.54,5.548,5.501,5.521,331.721
1662832800000.0,5.528,5.638,5.528,5.619,639.199
1662836400000.0,5.617,5.687,5.602,5.687,794.418
1662840000000.0,5.618,5.686,5.611,5.665,813.313
1662843600000.0,5.665,5.682,5.609,5.652,1294.146
1662847200000.0,5.656,5.805,5.656,5.769,1461.048
1662850800000.0,5.743,5.775,5.608,5.709,2288.411
1662854400000.0,5.695,5.738,5.66,5.715,154.188
1662858000000.0,5.72,5.72,5.663,5.684,631.342
1662861600000.0,5.685,5.685,5.627,5.657,516.752
1662865200000.0,5.657,5.669,5.635,5.635,187.091
1662868800000.0,5.661,5.661,5.626,5.626,174.208
1662872400000.0,5.64,5.641,5.609,5.629,423.762
1662876000000.0,5.636,5.648,5.556,5.591,4878.525
1662879600000.0,5.59,5.644,5.59,5.644,143.305
1662883200000.0,5.643,5.661,5.626,5.635,108.347
1662886800000.0,5.646,5.646,5.604,5.621,84.977
1662890400000.0,5.614,5.624,5.591,5.606,107.579
1662894000000.0,5.616,5.633,5.608,5.609,532.798
1662897600000.0,5.588,5.64,5.577,5.611,293.142
1662901200000.0,5.594,5.622,5.582,5.599,593.365
1662904800000.0,5.606,5.643,5.601,5.631,1548.911
1662908400000.0,5.634,5.68,5.634,5.634,116.341
1662912000000.0,5.663,5.687,5.663,5.685,140.804
1662915600000.0,5.67,5.696,5.641,5.645,135.86
1662919200000.0,5.65,5.651,5.618,5.618,230.604
1662922800000.0,5.621,5.621,5.56,5.602,580.887
1662926400000.0,5.59,5.609,5.518,5.583,680.623
1662930000000.0,5.572,5.597,5.502,5.512,1597.853
1662933600000.0,5.524,5.69,5.524,5.553,3093.088
1662937200000.0,5.544,5.585,5.535,5.573,563.634
1662940800000.0,5.565,5.577,5.482,5.486,1422.1
1662944400000.0,5.483,5.645,5.467,5.609,1984.353
