timestamp,open,high,low,close,volume
1689177600000.0,1.479,1.479,1.398,1.439,26336.84
1689181200000.0,1.438,1.464,1.407,1.425,20739.76
1689184800000.0,1.407,1.446,1.406,1.426,32042.87
1689188400000.0,1.426,1.457,1.394,1.424,50776.61
1689192000000.0,1.418,1.572,1.403,1.518,72110.35
1689195600000.0,1.516,1.86,1.513,1.86,261050.3
1689199200000.0,1.857,1.9,1.702,1.759,222755.71
1689202800000.0,1.759,2.049,1.755,1.806,420745.94
1689206400000.0,1.794,1.9,1.73,1.753,182567.26
1689210000000.0,1.753,1.769,1.689,1.719,86780.95
1689213600000.0,1.732,1.778,1.66,1.693,70821.07
1689217200000.0,1.693,1.732,1.651,1.651,48401.38
1689220800000.0,1.656,1.688,1.592,1.634,43480.28
1689224400000.0,1.62,1.654,1.59,1.621,25953.22
1689228000000.0,1.621,1.632,1.603,1.623,10054.59
1689231600000.0,1.625,1.661,1.603,1.643,20436.9
1689235200000.0,1.643,1.646,1.588,1.615,20756.83
1689238800000.0,1.614,1.618,1.544,1.569,35509.27
1689242400000.0,1.568,1.568,1.517,1.532,23720.18
1689246000000.0,1.537,1.585,1.536,1.562,26274.29
1689249600000.0,1.561,1.587,1.55,1.583,15583.69
1689253200000.0,1.583,1.677,1.575,1.675,60091.82
1689256800000.0,1.677,1.68,1.62,1.62,40689.01
1689260400000.0,1.618,1.635,1.583,1.62,31567.26
1689264000000.0,1.628,1.628,1.535,1.569,80017.57
1689267600000.0,1.571,1.622,1.546,1.622,54304.87
1689271200000.0,1.622,1.628,1.55,1.573,84808.94
1689274800000.0,1.565,1.586,1.535,1.583,51778.38
1689278400000.0,1.583,1.615,1.578,1.587,37627.14
1689282000000.0,1.595,1.595,1.552,1.553,36065.19
1689285600000.0,1.553,1.582,1.55,1.582,18533.5
1689289200000.0,1.582,1.642,1.573,1.617,39915.18
1689292800000.0,1.609,1.725,1.606,1.716,35091.03
1689296400000.0,1.712,1.716,1.644,1.645,35568.99
1689300000000.0,1.645,1.657,1.621,1.646,7740.23
1689303600000.0,1.646,1.65,1.62,1.639,14917.22
1689307200000.0,1.639,1.652,1.626,1.643,6714.74
1689310800000.0,1.646,1.65,1.633,1.646,7726.28
1689314400000.0,1.636,1.646,1.613,1.637,8389.85
1689318000000.0,1.637,1.637,1.612,1.619,4104.88
1689321600000.0,1.619,1.622,1.599,1.602,6767.27
1689325200000.0,1.602,1.607,1.582,1.582,9097.53
1689328800000.0,1.582,1.587,1.55,1.56,17077.13
1689332400000.0,1.552,1.576,1.552,1.571,5249.48
1689336000000.0,1.571,1.59,1.571,1.584,18451.35
1689339600000.0,1.586,1.587,1.556,1.587,11655.03
1689343200000.0,1.586,1.586,1.563,1.586,8765.75
1689346800000.0,1.586,1.64,1.58,1.619,15606.12
1689350400000.0,1.611,1.63,1.584,1.63,16247.9
