timestamp,open,high,low,close,volume
1677718800000.0,5.867,5.873,5.45,5.505,95096.25
1677722400000.0,5.528,5.559,5.019,5.108,83391.25
1677726000000.0,5.108,5.167,4.5,5.064,150917.48
1677729600000.0,5.02,5.453,4.933,5.213,94799.28
1677733200000.0,5.213,5.213,4.701,4.706,49289.13
1677736800000.0,4.7,4.887,4.649,4.65,40371.29
1677740400000.0,4.649,4.688,3.62,4.216,96252.09
1677744000000.0,4.218,4.311,3.7,4.2,60665.63
1677747600000.0,4.2,4.331,3.739,3.915,41992.04
1677751200000.0,3.909,3.97,3.844,3.927,22288.29
1677754800000.0,3.948,4.259,3.79,4.259,39100.27
1677758400000.0,4.254,4.256,3.613,3.629,51538.99
1677762000000.0,3.624,3.723,3.478,3.72,55883.41
1677765600000.0,3.725,3.99,3.61,3.848,65800.18
1677769200000.0,3.843,4.16,3.71,4.107,54580.06
1677772800000.0,4.112,4.476,3.902,4.28,77382.27
1677776400000.0,4.264,4.533,3.926,4.039,97440.92
1677780000000.0,4.039,4.269,4.008,4.15,55169.18
1677783600000.0,4.151,4.151,3.71,3.918,57691.95
1677787200000.0,3.918,4.08,3.733,3.878,70203.17
1677790800000.0,3.873,4.013,3.87,3.885,36167.34
1677794400000.0,3.884,4.013,3.76,3.882,68715.59
1677798000000.0,3.875,4.008,3.733,3.741,66964.22
1677801600000.0,3.763,3.798,3.61,3.671,54000.68
1677805200000.0,3.675,3.795,3.151,3.25,98660.07
1677808800000.0,3.244,3.441,3.12,3.322,82486.36
1677812400000.0,3.333,3.467,3.317,3.382,41613.15
1677816000000.0,3.374,3.48,3.305,3.45,19423.62
1677819600000.0,3.446,3.752,3.446,3.502,57329.7
1677823200000.0,3.501,3.579,3.5,3.509,15628.39
1677826800000.0,3.5,3.509,3.323,3.344,17227.39
1677830400000.0,3.343,3.363,3.336,3.363,8437.93
1677834000000.0,3.363,3.468,3.362,3.468,12547.88
1677837600000.0,3.467,3.501,3.433,3.433,9487.31
1677841200000.0,3.433,3.433,3.252,3.255,36257.87
1677844800000.0,3.262,3.305,3.209,3.226,22452.76
1677848400000.0,3.226,3.243,3.0,3.149,86501.53
1677852000000.0,3.149,3.267,3.1,3.267,31461.86
1677855600000.0,3.247,3.261,3.129,3.145,18914.79
1677859200000.0,3.13,3.14,3.04,3.051,29358.77
1677862800000.0,3.051,3.359,3.0,3.285,52620.23
1677866400000.0,3.285,3.373,3.26,3.316,45792.92
1677870000000.0,3.326,3.332,3.314,3.325,3157.35
1677873600000.0,3.322,3.347,3.322,3.339,7297.24
1677877200000.0,3.343,3.348,3.288,3.313,22822.85
1677880800000.0,3.307,3.307,3.127,3.165,23253.52
1677884400000.0,3.165,3.185,3.133,3.149,7685.17
1677888000000.0,3.149,3.164,3.022,3.056,31179.83
1677891600000.0,3.058,3.283,3.055,3.281,47036.33
1677895200000.0,3.278,3.34,3.257,3.289,28480.16
1677898800000.0,3.289,3.289,3.248,3.262,6265.38
1677902400000.0,3.258,3.285,3.212,3.226,20190.8
1677906000000.0,3.225,3.23,3.206,3.211,3548.4
1677909600000.0,3.21,3.21,3.198,3.199,1225.73
1677913200000.0,3.199,3.239,3.182,3.182,11375.82
1677916800000.0,3.18,3.185,3.173,3.176,2165.01
1677920400000.0,3.174,3.373,3.152,3.365,24668.22
1677924000000.0,3.365,3.567,3.362,3.436,21018.87
1677927600000.0,3.427,3.459,3.376,3.385,8587.16
1677931200000.0,3.395,3.395,3.294,3.33,2431.22
1677934800000.0,3.33,3.515,3.287,3.442,15850.21
1677938400000.0,3.442,3.442,3.313,3.435,9489.72
1677942000000.0,3.439,3.599,3.404,3.489,26904.56
1677945600000.0,3.505,3.7,3.487,3.567,37904.84
1677970800000.0,3.567,3.567,3.478,3.52,1935.05
1677974400000.0,3.539,3.677,3.439,3.584,52758.3
1677978000000.0,3.584,3.89,3.524,3.826,67754.39
1677981600000.0,3.826,4.073,3.61,3.89,118479.28
1677985200000.0,3.89,4.013,3.888,3.938,38878.43
1677988800000.0,3.923,3.934,3.809,3.907,37406.03
1677992400000.0,3.91,4.057,3.851,3.969,38644.58
1677996000000.0,3.956,3.99,3.8,3.84,16940.07
1677999600000.0,3.838,3.938,3.766,3.911,21128.45
1678003200000.0,3.911,3.911,3.7,3.7,12620.44
1678006800000.0,3.7,3.701,3.613,3.66,18696.36
1678010400000.0,3.66,3.824,3.61,3.634,13389.12
1678014000000.0,3.632,3.823,3.61,3.678,9261.0
1678017600000.0,3.673,3.703,3.636,3.686,3191.42
1678021200000.0,3.687,3.704,3.61,3.611,9379.56
1678024800000.0,3.61,3.686,3.557,3.585,15773.73
1678028400000.0,3.597,3.659,3.4,3.659,19445.89
1678032000000.0,3.647,3.651,3.42,3.473,51912.14
1678035600000.0,3.473,3.59,3.469,3.51,13917.97
1678039200000.0,3.51,3.562,3.445,3.499,34002.45
1678042800000.0,3.507,3.509,3.41,3.424,14439.93
1678046400000.0,3.426,3.454,3.4,3.409,11972.81
1678050000000.0,3.409,3.434,3.377,3.403,16231.69
1678053600000.0,3.395,3.4,3.283,3.295,25164.71
1678057200000.0,3.294,3.481,3.277,3.448,26683.43
1678060800000.0,3.438,3.448,3.276,3.316,26894.68
1678064400000.0,3.313,3.452,3.308,3.378,7558.33
1678068000000.0,3.377,3.4,3.37,3.399,6012.04
1678071600000.0,3.391,3.47,3.351,3.45,10781.1
1678075200000.0,3.45,3.45,3.3,3.346,4652.83
1678078800000.0,3.333,3.348,3.29,3.328,3397.91
1678082400000.0,3.328,3.399,3.285,3.353,12649.03
1678086000000.0,3.369,3.536,3.369,3.465,11616.73
1678089600000.0,3.455,3.475,3.447,3.447,2401.44
1678093200000.0,3.45,3.45,3.407,3.419,2002.08
1678096800000.0,3.418,3.438,3.404,3.414,6108.09
1678100400000.0,3.426,3.438,3.401,3.435,3147.61
1678104000000.0,3.433,3.438,3.415,3.416,7747.87
1678107600000.0,3.415,3.429,3.415,3.415,1568.14
1678111200000.0,3.415,3.424,3.388,3.406,6367.56
1678114800000.0,3.404,3.426,3.349,3.384,10626.06
1678118400000.0,3.373,3.386,3.303,3.304,16974.05
1678122000000.0,3.307,3.339,3.295,3.314,7937.67
1678125600000.0,3.313,3.331,3.24,3.294,29590.74
1678129200000.0,3.295,3.308,3.294,3.308,2167.08
1678132800000.0,3.308,3.308,3.192,3.229,18840.86
1678136400000.0,3.229,3.239,3.185,3.201,9481.44
1678140000000.0,3.2,3.222,3.198,3.199,8742.48
1678143600000.0,3.208,3.244,3.161,3.233,28617.32
1678147200000.0,3.231,3.231,3.108,3.152,22786.96
1678150800000.0,3.149,3.264,3.116,3.229,18251.75
1678154400000.0,3.229,3.246,3.131,3.207,17288.78
1678158000000.0,3.199,3.235,3.193,3.212,8713.92
1678161600000.0,3.212,3.223,3.14,3.14,12726.5
1678165200000.0,3.143,3.21,3.143,3.201,10212.57
1678168800000.0,3.201,3.21,3.144,3.164,13455.26
1678172400000.0,3.164,3.198,3.135,3.148,17010.83
1678176000000.0,3.15,3.182,3.135,3.182,18395.09
1678179600000.0,3.177,3.25,3.177,3.219,15446.64
1678183200000.0,3.217,3.286,3.181,3.235,26037.73
1678186800000.0,3.234,3.359,3.221,3.273,18344.62
1678190400000.0,3.278,3.37,3.261,3.315,22032.35
1678194000000.0,3.324,3.45,3.221,3.277,36764.4
1678197600000.0,3.27,3.32,3.15,3.181,40626.29
1678201200000.0,3.187,3.24,3.137,3.228,28805.84
1678204800000.0,3.24,3.24,3.149,3.163,5159.98
1678208400000.0,3.17,3.237,3.135,3.159,15642.91
1678212000000.0,3.159,3.206,3.068,3.159,27336.21
1678215600000.0,3.163,3.167,3.132,3.147,2227.16
1678219200000.0,3.153,3.158,3.06,3.103,28299.88
1678222800000.0,3.098,3.116,3.077,3.078,10132.63
1678226400000.0,3.081,3.127,3.01,3.05,32621.4
1678230000000.0,3.051,3.169,3.049,3.081,37037.96
1678233600000.0,3.084,3.226,3.04,3.123,28975.26
1678237200000.0,3.135,3.317,3.123,3.196,28508.74
1678240800000.0,3.196,3.259,3.124,3.2,24451.09
1678244400000.0,3.213,3.272,3.131,3.187,24402.61
1678248000000.0,3.182,3.29,3.163,3.279,10355.75
1678251600000.0,3.268,3.286,3.202,3.202,9550.79
1678255200000.0,3.207,3.251,3.17,3.18,5612.69
1678258800000.0,3.181,3.186,3.14,3.178,3870.89
1678262400000.0,3.17,3.242,3.17,3.235,1456.48
1678266000000.0,3.238,3.238,3.142,3.159,9062.9
1678269600000.0,3.157,3.177,3.148,3.177,482.55
1678273200000.0,3.178,3.25,3.15,3.215,5757.62
1678276800000.0,3.208,3.354,3.208,3.269,16802.25
1678280400000.0,3.254,3.281,3.202,3.211,6711.71
1678284000000.0,3.216,3.219,3.102,3.104,7870.02
1678287600000.0,3.102,3.171,3.099,3.15,5488.8
1678291200000.0,3.152,3.152,3.088,3.114,7433.81
1678294800000.0,3.104,3.16,3.04,3.101,10555.21
1678298400000.0,3.097,3.099,3.0,3.016,17631.16
1678302000000.0,3.017,3.017,2.55,2.928,82177.97
1678305600000.0,2.929,2.988,2.792,2.858,16186.33
1678309200000.0,2.855,3.1,2.79,3.052,34830.96
1678312800000.0,3.052,3.096,2.854,2.878,22252.82
1678316400000.0,2.875,2.881,2.743,2.745,12858.31
1678320000000.0,2.745,2.792,2.661,2.745,26314.3
1678323600000.0,2.747,2.747,2.663,2.701,22458.72
1678327200000.0,2.718,2.739,2.676,2.726,13608.37
1678330800000.0,2.722,2.74,2.708,2.709,6016.67
1678334400000.0,2.709,2.711,2.636,2.669,11598.04
1678338000000.0,2.67,2.763,2.666,2.751,12574.33
1678341600000.0,2.743,2.762,2.743,2.751,2852.83
1678345200000.0,2.754,2.758,2.745,2.745,1820.74
1678348800000.0,2.751,2.87,2.744,2.858,13625.4
1678352400000.0,2.867,2.869,2.845,2.847,2871.31
1678356000000.0,2.854,2.855,2.826,2.826,3276.95
1678359600000.0,2.831,2.831,2.724,2.744,12297.05
1678363200000.0,2.744,2.744,2.672,2.684,8271.93
1678366800000.0,2.684,2.711,2.682,2.711,8075.54
1678370400000.0,2.711,2.725,2.675,2.688,21001.12
1678374000000.0,2.688,2.696,2.684,2.69,1612.47
1678377600000.0,2.691,2.691,2.6,2.6,27652.35
1678381200000.0,2.601,2.601,2.471,2.485,54565.44
1678384800000.0,2.484,2.579,2.465,2.468,56814.66
1678388400000.0,2.468,2.508,2.338,2.412,62094.41
1678392000000.0,2.413,2.466,2.228,2.228,58337.8
1678395600000.0,2.226,2.363,2.218,2.338,40766.22
1678399200000.0,2.344,2.8,2.324,2.542,204883.86
1678402800000.0,2.548,2.548,2.4,2.455,34724.48
1678406400000.0,2.437,2.602,2.339,2.341,31450.21
1678410000000.0,2.332,2.362,2.196,2.358,39782.7
1678413600000.0,2.351,2.37,2.265,2.294,22744.87
1678417200000.0,2.29,2.295,2.274,2.275,13478.53
1678420800000.0,2.275,2.275,2.253,2.253,13190.01
1678424400000.0,2.254,2.274,2.252,2.271,10400.99
1678428000000.0,2.274,2.284,2.263,2.273,3447.15
1678431600000.0,2.278,2.341,2.273,2.303,22733.42
1678435200000.0,2.304,2.318,2.29,2.302,6821.37
1678438800000.0,2.303,2.333,2.284,2.303,6573.73
1678442400000.0,2.304,2.304,2.149,2.175,29227.98
1678446000000.0,2.18,2.208,2.15,2.208,21402.56
1678449600000.0,2.208,2.216,2.18,2.206,11198.94
