timestamp,open,high,low,close,volume
1653580800000.0,1.499,1.499,1.389,1.423,481085.5
1653584400000.0,1.42,1.43,1.393,1.424,164270.73
1653588000000.0,1.422,1.423,1.375,1.383,119402.26
1653591600000.0,1.382,1.385,1.35,1.362,110719.12
1653595200000.0,1.361,1.386,1.343,1.355,156443.82
1653598800000.0,1.353,1.393,1.353,1.389,75887.47
1653602400000.0,1.389,1.417,1.378,1.391,104093.53
1653606000000.0,1.392,1.407,1.355,1.365,95489.16
1653609600000.0,1.364,1.387,1.316,1.323,162049.0
1653613200000.0,1.324,1.335,1.279,1.285,82598.46
1653616800000.0,1.283,1.315,1.277,1.293,100209.72
1653620400000.0,1.292,1.337,1.292,1.321,73454.85
1653624000000.0,1.32,1.328,1.283,1.287,35624.13
1653627600000.0,1.287,1.301,1.259,1.28,73803.26
1653631200000.0,1.28,1.314,1.261,1.312,42661.56
1653634800000.0,1.309,1.333,1.298,1.302,17894.89
1653638400000.0,1.297,1.312,1.282,1.282,35401.61
1653642000000.0,1.287,1.321,1.282,1.321,29590.92
1653645600000.0,1.315,1.323,1.286,1.291,44790.99
1653649200000.0,1.292,1.333,1.287,1.313,32777.66
1653652800000.0,1.307,1.359,1.3,1.354,57768.71
1653656400000.0,1.351,1.407,1.337,1.377,158057.67
1653660000000.0,1.377,1.416,1.312,1.321,137322.16
1653663600000.0,1.32,1.331,1.299,1.308,96501.4
1653667200000.0,1.306,1.322,1.295,1.301,58609.51
1653670800000.0,1.302,1.312,1.276,1.282,67130.51
1653674400000.0,1.285,1.299,1.261,1.287,75541.11
1653678000000.0,1.282,1.341,1.267,1.309,354076.09
1653681600000.0,1.309,1.359,1.297,1.323,423307.0
1653685200000.0,1.323,1.359,1.301,1.311,372860.97
1653688800000.0,1.309,1.36,1.301,1.325,470756.73
1653692400000.0,1.326,1.331,1.29,1.305,201487.63
1653696000000.0,1.302,1.329,1.28,1.328,136056.13
1653699600000.0,1.327,1.338,1.305,1.311,90118.12
1653703200000.0,1.311,1.332,1.268,1.279,114195.39
1653706800000.0,1.275,1.305,1.265,1.305,49807.79
1653710400000.0,1.304,1.312,1.29,1.309,32648.11
1653714000000.0,1.309,1.325,1.295,1.307,38157.74
1653717600000.0,1.302,1.314,1.295,1.301,65041.82
1653721200000.0,1.306,1.306,1.284,1.292,24146.04
1653724800000.0,1.292,1.301,1.278,1.284,19358.45
1653728400000.0,1.285,1.293,1.276,1.287,15110.1
1653732000000.0,1.286,1.294,1.276,1.283,20801.92
1653735600000.0,1.285,1.304,1.28,1.291,21873.85
1653739200000.0,1.292,1.304,1.284,1.302,34120.72
1653742800000.0,1.303,1.318,1.296,1.306,53023.61
1653746400000.0,1.306,1.312,1.295,1.298,51574.73
1653750000000.0,1.298,1.32,1.292,1.308,34526.62
1653753600000.0,1.31,1.325,1.303,1.314,65304.6
1653757200000.0,1.317,1.318,1.299,1.304,60481.29
1653760800000.0,1.304,1.321,1.302,1.32,38291.11
1653764400000.0,1.32,1.324,1.307,1.32,54404.15
1653768000000.0,1.32,1.35,1.308,1.316,115090.98
1653771600000.0,1.314,1.319,1.285,1.296,96630.28
1653775200000.0,1.294,1.296,1.286,1.293,27672.26
1653778800000.0,1.292,1.307,1.29,1.303,27956.44
1653782400000.0,1.301,1.309,1.287,1.288,25863.14
1653786000000.0,1.288,1.294,1.269,1.277,45810.04
1653789600000.0,1.273,1.277,1.257,1.26,41583.26
1653793200000.0,1.26,1.274,1.255,1.271,24266.42
1653796800000.0,1.272,1.276,1.263,1.27,25623.04
1653800400000.0,1.268,1.279,1.267,1.278,18381.54
1653804000000.0,1.276,1.284,1.27,1.28,11111.7
1653807600000.0,1.278,1.28,1.272,1.275,10955.57
1653811200000.0,1.274,1.29,1.268,1.276,18853.34
1653814800000.0,1.277,1.279,1.267,1.269,26571.56
1653818400000.0,1.27,1.285,1.269,1.285,24893.5
1653822000000.0,1.285,1.296,1.281,1.294,19093.5
1653825600000.0,1.291,1.316,1.291,1.307,27432.93
1653829200000.0,1.306,1.31,1.3,1.301,31782.13
1653832800000.0,1.303,1.303,1.291,1.291,38962.83
1653836400000.0,1.29,1.291,1.279,1.289,28938.41
1653840000000.0,1.286,1.3,1.286,1.293,29332.34
1653843600000.0,1.294,1.299,1.284,1.293,35759.78
1653847200000.0,1.293,1.296,1.285,1.289,21094.05
1653850800000.0,1.288,1.293,1.28,1.291,31182.57
1653854400000.0,1.291,1.294,1.286,1.291,12102.75
1653858000000.0,1.293,1.3,1.287,1.3,8657.75
1653861600000.0,1.3,1.306,1.292,1.302,35945.08
1653865200000.0,1.303,1.312,1.297,1.311,32084.3
1653868800000.0,1.31,1.312,1.296,1.299,15472.36
1653872400000.0,1.298,1.343,1.296,1.333,69898.03
1653876000000.0,1.336,1.36,1.334,1.35,89632.63
1653879600000.0,1.35,1.357,1.339,1.342,71536.72
1653883200000.0,1.346,1.348,1.335,1.339,18711.63
1653886800000.0,1.341,1.366,1.34,1.366,75134.61
1653890400000.0,1.366,1.38,1.362,1.373,34890.82
1653894000000.0,1.373,1.383,1.37,1.378,28875.75
1653897600000.0,1.376,1.385,1.372,1.379,19875.27
1653901200000.0,1.38,1.385,1.358,1.37,36391.25
1653904800000.0,1.373,1.378,1.358,1.36,8868.46
1653908400000.0,1.36,1.374,1.358,1.372,11016.3
1653912000000.0,1.372,1.398,1.352,1.372,48314.26
1653915600000.0,1.371,1.376,1.351,1.37,39068.84
1653919200000.0,1.369,1.384,1.364,1.365,30492.2
1653922800000.0,1.366,1.384,1.366,1.376,57836.82
1653926400000.0,1.376,1.439,1.371,1.419,108193.86
1653930000000.0,1.421,1.423,1.41,1.415,65002.01
1653933600000.0,1.414,1.415,1.402,1.403,31676.09
1653937200000.0,1.402,1.416,1.39,1.395,46542.16
1653940800000.0,1.395,1.435,1.389,1.43,81781.56
1653944400000.0,1.433,1.469,1.424,1.439,67763.8
1653948000000.0,1.439,1.445,1.428,1.443,71864.03
1653951600000.0,1.441,1.455,1.435,1.44,67634.39
1653955200000.0,1.437,1.488,1.437,1.453,239855.94
1653958800000.0,1.454,1.476,1.431,1.476,102059.7
1653962400000.0,1.476,1.527,1.474,1.512,162288.62
1653966000000.0,1.513,1.522,1.484,1.499,136166.18
1653969600000.0,1.498,1.508,1.488,1.49,53961.52
1653973200000.0,1.494,1.497,1.459,1.463,41444.32
1653976800000.0,1.461,1.463,1.421,1.434,32014.46
1653980400000.0,1.437,1.446,1.43,1.443,11309.4
1653984000000.0,1.443,1.466,1.44,1.45,22191.5
1653987600000.0,1.452,1.452,1.42,1.425,28238.44
1653991200000.0,1.43,1.446,1.423,1.445,22387.06
1653994800000.0,1.447,1.473,1.442,1.458,32094.27
1653998400000.0,1.454,1.47,1.424,1.437,33407.41
1654002000000.0,1.437,1.453,1.382,1.397,78174.05
1654005600000.0,1.401,1.421,1.381,1.415,98309.65
1654009200000.0,1.418,1.453,1.403,1.443,52864.94
1654012800000.0,1.443,1.447,1.42,1.434,68031.25
1654016400000.0,1.432,1.443,1.417,1.442,92898.06
1654020000000.0,1.439,1.448,1.42,1.425,74922.3
1654023600000.0,1.423,1.436,1.419,1.436,22458.67
1654027200000.0,1.436,1.443,1.427,1.438,26984.24
1654030800000.0,1.442,1.444,1.431,1.435,22787.49
1654034400000.0,1.433,1.469,1.433,1.469,72015.3
1654038000000.0,1.469,1.469,1.445,1.454,35282.68
1654041600000.0,1.451,1.46,1.425,1.456,19600.2
1654045200000.0,1.454,1.456,1.43,1.441,47046.3
1654048800000.0,1.44,1.443,1.405,1.417,53071.06
1654052400000.0,1.416,1.416,1.393,1.402,62845.96
1654056000000.0,1.408,1.41,1.388,1.409,19513.0
1654059600000.0,1.41,1.412,1.385,1.395,17902.2
1654063200000.0,1.394,1.41,1.391,1.407,5767.6
1654066800000.0,1.406,1.41,1.39,1.393,25558.66
1654070400000.0,1.392,1.407,1.386,1.405,12330.41
1654074000000.0,1.4,1.419,1.397,1.419,4168.69
1654077600000.0,1.417,1.417,1.401,1.402,16534.32
1654081200000.0,1.402,1.413,1.39,1.402,20992.77
1654084800000.0,1.402,1.418,1.394,1.413,18296.51
1654088400000.0,1.413,1.437,1.409,1.429,36422.25
1654092000000.0,1.427,1.433,1.363,1.384,72928.89
1654095600000.0,1.385,1.391,1.366,1.369,37823.12
1654099200000.0,1.368,1.368,1.345,1.354,65513.64
1654102800000.0,1.353,1.355,1.326,1.342,52245.92
1654106400000.0,1.343,1.356,1.339,1.346,23915.06
1654110000000.0,1.347,1.353,1.333,1.35,23278.63
1654113600000.0,1.351,1.351,1.286,1.313,55534.2
1654117200000.0,1.316,1.321,1.309,1.309,25913.38
1654120800000.0,1.308,1.323,1.303,1.318,19086.69
1654124400000.0,1.32,1.335,1.319,1.326,25054.8
1654128000000.0,1.323,1.325,1.3,1.309,27090.52
1654131600000.0,1.309,1.329,1.305,1.319,27699.74
1654135200000.0,1.322,1.326,1.312,1.317,27251.66
1654138800000.0,1.315,1.32,1.297,1.297,18911.95
1654142400000.0,1.299,1.312,1.297,1.311,10449.35
1654146000000.0,1.31,1.318,1.297,1.317,8162.1
1654149600000.0,1.318,1.321,1.307,1.321,10095.65
1654153200000.0,1.32,1.331,1.316,1.322,12166.02
1654156800000.0,1.326,1.331,1.32,1.327,3750.99
1654160400000.0,1.33,1.335,1.323,1.327,7125.5
1654164000000.0,1.327,1.338,1.316,1.336,15263.02
1654167600000.0,1.335,1.347,1.329,1.344,9483.29
1654171200000.0,1.344,1.344,1.327,1.335,15600.93
1654174800000.0,1.333,1.334,1.304,1.317,19673.04
1654178400000.0,1.323,1.329,1.312,1.326,15221.53
1654182000000.0,1.324,1.345,1.324,1.337,22138.23
1654185600000.0,1.339,1.35,1.336,1.344,13501.94
1654189200000.0,1.342,1.348,1.329,1.333,16478.51
1654192800000.0,1.333,1.346,1.327,1.331,21412.63
1654196400000.0,1.33,1.337,1.325,1.337,18980.76
1654200000000.0,1.336,1.349,1.335,1.34,28332.7
1654203600000.0,1.341,1.349,1.337,1.347,41011.47
1654207200000.0,1.347,1.369,1.341,1.359,33246.87
1654210800000.0,1.36,1.375,1.359,1.367,21856.76
1654214400000.0,1.369,1.369,1.347,1.348,19158.6
1654218000000.0,1.35,1.373,1.345,1.371,23080.4
1654221600000.0,1.371,1.371,1.353,1.355,21751.12
1654225200000.0,1.353,1.358,1.352,1.355,19938.72
1654228800000.0,1.356,1.358,1.339,1.343,13920.0
1654232400000.0,1.346,1.353,1.341,1.35,10457.14
1654236000000.0,1.349,1.355,1.34,1.341,6242.6
1654239600000.0,1.34,1.342,1.33,1.336,13905.79
1654243200000.0,1.336,1.339,1.328,1.33,8780.09
1654246800000.0,1.327,1.332,1.307,1.311,8779.09
1654250400000.0,1.31,1.315,1.286,1.288,15651.13
1654254000000.0,1.296,1.304,1.273,1.286,35054.7
1654257600000.0,1.285,1.3,1.272,1.272,12903.99
1654261200000.0,1.278,1.293,1.275,1.291,25685.18
1654264800000.0,1.292,1.296,1.267,1.277,22084.33
1654268400000.0,1.276,1.283,1.268,1.28,16102.49
1654272000000.0,1.279,1.294,1.276,1.29,36502.33
1654275600000.0,1.291,1.298,1.286,1.288,16633.88
1654279200000.0,1.288,1.298,1.284,1.293,20507.4
1654282800000.0,1.291,1.295,1.286,1.29,23111.44
1654286400000.0,1.289,1.302,1.288,1.299,18507.14
1654290000000.0,1.3,1.314,1.299,1.31,11207.44
1654293600000.0,1.31,1.313,1.294,1.3,13751.46
1654297200000.0,1.3,1.302,1.289,1.296,29338.93
1654300800000.0,1.296,1.31,1.289,1.293,6035.6
1654304400000.0,1.293,1.3,1.279,1.282,24936.22
1654308000000.0,1.281,1.286,1.252,1.266,41556.63
1654311600000.0,1.265,1.274,1.263,1.267,21640.4
1654315200000.0,1.264,1.29,1.264,1.29,10259.01
1654318800000.0,1.289,1.29,1.281,1.285,8977.29
1654322400000.0,1.284,1.293,1.284,1.291,4790.23
1654326000000.0,1.291,1.294,1.286,1.294,3550.03
1654329600000.0,1.295,1.303,1.291,1.298,5119.89
1654333200000.0,1.299,1.301,1.282,1.286,2461.54
1654336800000.0,1.286,1.287,1.279,1.286,8590.45
1654340400000.0,1.288,1.291,1.278,1.283,6667.17
1654344000000.0,1.28,1.282,1.268,1.271,6023.57
1654347600000.0,1.271,1.282,1.271,1.28,10221.12
1654351200000.0,1.281,1.297,1.272,1.292,12561.64
1654354800000.0,1.289,1.297,1.285,1.293,15507.6
1654358400000.0,1.289,1.293,1.281,1.285,11542.04
1654362000000.0,1.281,1.289,1.278,1.286,7526.16
1654365600000.0,1.287,1.293,1.281,1.285,10627.2
1654369200000.0,1.283,1.286,1.278,1.279,7317.78
1654372800000.0,1.279,1.289,1.279,1.289,7627.93
1654376400000.0,1.286,1.293,1.283,1.293,16766.81
1654380000000.0,1.293,1.301,1.288,1.289,11024.2
1654383600000.0,1.289,1.298,1.287,1.297,10787.2
1654387200000.0,1.298,1.298,1.28,1.28,12063.84
1654390800000.0,1.28,1.282,1.271,1.271,14588.82
1654394400000.0,1.272,1.281,1.272,1.28,4497.98
1654398000000.0,1.278,1.284,1.277,1.279,9585.86
1654401600000.0,1.279,1.28,1.27,1.277,44294.19
1654405200000.0,1.279,1.29,1.277,1.286,6053.09
1654408800000.0,1.286,1.287,1.282,1.282,8176.96
1654412400000.0,1.282,1.288,1.28,1.283,3623.7
1654416000000.0,1.283,1.288,1.279,1.279,3833.53
1654419600000.0,1.281,1.281,1.271,1.274,3595.79
1654423200000.0,1.274,1.28,1.274,1.276,7543.39
1654426800000.0,1.275,1.28,1.272,1.278,6701.0
1654430400000.0,1.278,1.285,1.275,1.28,11086.54
1654434000000.0,1.281,1.284,1.274,1.275,9272.71
1654437600000.0,1.274,1.286,1.272,1.284,11091.01
1654441200000.0,1.285,1.295,1.282,1.295,7145.58
1654444800000.0,1.295,1.311,1.29,1.291,6529.2
1654448400000.0,1.29,1.307,1.29,1.303,10437.64
1654452000000.0,1.303,1.305,1.298,1.303,11196.92
1654455600000.0,1.301,1.306,1.295,1.306,7359.69
1654459200000.0,1.303,1.31,1.298,1.3,12250.75
1654462800000.0,1.3,1.3,1.289,1.295,10213.12
1654466400000.0,1.294,1.302,1.287,1.295,7050.04
1654470000000.0,1.297,1.301,1.29,1.298,12675.41
1654473600000.0,1.3,1.337,1.288,1.324,23872.21
1654477200000.0,1.325,1.349,1.324,1.345,15330.99
1654480800000.0,1.345,1.35,1.336,1.338,21753.6
1654484400000.0,1.339,1.357,1.337,1.354,26461.37
1654488000000.0,1.355,1.36,1.346,1.346,17940.17
1654491600000.0,1.346,1.352,1.342,1.345,26825.77
1654495200000.0,1.346,1.365,1.341,1.361,22042.57
1654498800000.0,1.361,1.374,1.359,1.363,54898.39
1654502400000.0,1.362,1.383,1.362,1.383,6426.21
1654506000000.0,1.382,1.385,1.373,1.385,13167.6
1654509600000.0,1.385,1.395,1.378,1.39,19292.34
1654513200000.0,1.391,1.393,1.366,1.372,29730.88
1654516800000.0,1.373,1.377,1.365,1.37,32730.2
1654520400000.0,1.371,1.373,1.351,1.36,38433.84
1654524000000.0,1.36,1.38,1.358,1.362,32649.32
1654527600000.0,1.363,1.364,1.34,1.354,51395.82
1654531200000.0,1.352,1.352,1.326,1.33,38435.82
1654534800000.0,1.329,1.333,1.317,1.33,39828.25
1654538400000.0,1.327,1.333,1.313,1.326,92393.31
1654542000000.0,1.323,1.33,1.318,1.33,92832.57
1654545600000.0,1.328,1.33,1.312,1.326,67480.44
1654549200000.0,1.326,1.346,1.326,1.345,75843.94
1654552800000.0,1.344,1.349,1.334,1.338,46815.65
1654556400000.0,1.336,1.354,1.336,1.351,34529.17
1654560000000.0,1.351,1.351,1.275,1.282,80453.8
1654563600000.0,1.28,1.288,1.258,1.277,82112.59
1654567200000.0,1.276,1.28,1.265,1.277,90640.0
1654570800000.0,1.276,1.293,1.272,1.284,64639.3
1654574400000.0,1.285,1.291,1.282,1.287,31975.72
1654578000000.0,1.288,1.292,1.28,1.285,40985.46
1654581600000.0,1.284,1.289,1.276,1.282,32834.1
1654585200000.0,1.281,1.29,1.278,1.288,19663.43
1654588800000.0,1.288,1.299,1.286,1.292,23609.55
1654592400000.0,1.292,1.293,1.281,1.281,13813.34
1654596000000.0,1.281,1.297,1.281,1.288,34476.67
1654599600000.0,1.286,1.289,1.27,1.278,23137.97
1654603200000.0,1.279,1.28,1.266,1.275,38850.23
1654606800000.0,1.276,1.293,1.273,1.287,39020.61
1654610400000.0,1.285,1.305,1.283,1.298,42130.93
1654614000000.0,1.298,1.3,1.285,1.293,32877.21
1654617600000.0,1.291,1.295,1.283,1.293,28488.73
1654621200000.0,1.292,1.297,1.289,1.294,44395.33
1654624800000.0,1.293,1.307,1.292,1.304,29832.57
1654628400000.0,1.303,1.336,1.302,1.323,31069.7
1654632000000.0,1.321,1.345,1.321,1.339,68532.8
1654635600000.0,1.337,1.35,1.33,1.332,59600.83
1654639200000.0,1.333,1.341,1.282,1.304,39727.05
1654642800000.0,1.307,1.323,1.292,1.311,30982.93
1654646400000.0,1.313,1.325,1.302,1.314,27111.83
1654650000000.0,1.314,1.319,1.296,1.318,60291.36
1654653600000.0,1.318,1.335,1.317,1.319,46584.43
1654657200000.0,1.319,1.32,1.277,1.286,40890.0
1654660800000.0,1.284,1.305,1.278,1.302,16788.9
1654664400000.0,1.301,1.312,1.294,1.306,30565.19
1654668000000.0,1.307,1.31,1.295,1.301,32221.3
1654671600000.0,1.301,1.302,1.289,1.3,12419.34
1654675200000.0,1.301,1.311,1.3,1.308,11401.45
1654678800000.0,1.306,1.318,1.301,1.317,12622.75
1654682400000.0,1.319,1.319,1.303,1.306,35824.59
1654686000000.0,1.305,1.321,1.303,1.311,105362.71
1654689600000.0,1.311,1.314,1.292,1.293,57255.82
1654693200000.0,1.293,1.329,1.292,1.321,59124.48
1654696800000.0,1.319,1.322,1.308,1.309,35171.89
