timestamp,open,high,low,close,volume
1637265600000.0,4.17,5.7,4.1,4.4,1723030.55
1637269200000.0,4.4,5.0,4.15,4.32,1364818.88
1637272800000.0,4.32,4.39,3.97,4.04,652995.37
1637276400000.0,4.04,4.63,4.03,4.36,1764362.24
1637280000000.0,4.35,4.55,4.01,4.17,931538.38
1637283600000.0,4.17,4.19,3.82,3.84,653337.68
1637287200000.0,3.85,4.14,3.84,4.02,311839.47
1637290800000.0,4.02,4.45,3.91,3.97,519512.4
1637294400000.0,3.98,4.08,3.89,3.91,209081.97
1637298000000.0,3.93,4.35,3.91,4.24,444411.97
1637301600000.0,4.24,4.49,4.16,4.26,559766.7
1637305200000.0,4.27,4.36,4.13,4.33,229521.74
1637308800000.0,4.31,4.5,4.16,4.17,267920.21
1637312400000.0,4.17,4.21,3.83,3.88,406954.84
1637316000000.0,3.88,3.92,3.82,3.91,244908.43
1637319600000.0,3.89,4.06,3.82,3.94,182579.4
1637323200000.0,3.95,4.24,3.94,4.06,282798.14
1637326800000.0,4.04,4.2,3.91,3.94,319697.63
1637330400000.0,3.93,4.1,3.78,3.9,607528.43
1637334000000.0,3.89,3.91,3.77,3.88,408678.9
1637337600000.0,3.87,4.05,3.8,3.8,313952.43
1637341200000.0,3.81,4.0,3.78,3.95,297631.82
1637344800000.0,3.95,3.98,3.76,3.78,201360.6
1637348400000.0,3.78,3.92,3.75,3.88,153608.98
1637352000000.0,3.88,3.95,3.77,3.94,248679.81
1637355600000.0,3.93,3.94,3.77,3.81,348141.33
1637359200000.0,3.81,3.88,3.72,3.86,288225.06
1637362800000.0,3.86,3.87,3.73,3.86,196201.27
1637366400000.0,3.85,3.88,3.74,3.77,170606.64
1637370000000.0,3.77,3.78,3.65,3.7,287324.93
1637373600000.0,3.69,3.71,3.61,3.65,257638.03
1637377200000.0,3.66,3.88,3.65,3.76,295306.44
1637380800000.0,3.75,3.8,3.67,3.79,197525.64
1637384400000.0,3.8,3.83,3.69,3.72,135075.3
1637388000000.0,3.72,3.84,3.68,3.8,106801.69
1637391600000.0,3.81,3.87,3.76,3.8,70530.51
1637395200000.0,3.8,3.83,3.78,3.81,45122.15
1637398800000.0,3.79,3.86,3.79,3.83,30590.19
1637402400000.0,3.83,3.97,3.83,3.93,97943.7
1637406000000.0,3.95,3.97,3.76,3.79,64164.01
1637409600000.0,3.79,3.87,3.7,3.78,88830.4
1637413200000.0,3.78,3.85,3.78,3.81,48273.36
1637416800000.0,3.82,3.93,3.8,3.83,77221.29
1637420400000.0,3.84,3.85,3.64,3.67,178571.3
1637424000000.0,3.68,3.89,3.66,3.84,87560.8
1637427600000.0,3.83,3.86,3.73,3.77,116603.64
1637431200000.0,3.76,3.99,3.75,3.84,172200.05
1637434800000.0,3.85,4.0,3.84,3.86,170966.02
1637438400000.0,3.86,3.91,3.79,3.85,102352.5
1637442000000.0,3.87,3.94,3.81,3.91,104827.93
1637445600000.0,3.91,4.07,3.9,3.95,225276.51
1637449200000.0,3.95,4.12,3.94,4.08,442800.37
1637452800000.0,4.08,4.09,3.85,3.93,218434.14
1637456400000.0,3.93,3.97,3.91,3.94,72101.39
1637460000000.0,3.94,3.99,3.87,3.99,185847.18
1637463600000.0,3.98,4.03,3.93,3.95,150515.5
1637467200000.0,3.94,4.01,3.91,4.0,102386.16
1637470800000.0,4.0,4.11,3.99,4.05,117859.07
1637474400000.0,4.07,4.1,4.04,4.07,97412.15
1637478000000.0,4.08,4.11,4.05,4.07,73589.64
1637481600000.0,4.1,4.1,3.97,4.0,64594.32
1637485200000.0,4.0,4.05,3.95,4.02,72870.61
1637488800000.0,4.02,4.05,3.95,3.95,78444.45
1637492400000.0,3.95,3.99,3.88,3.91,52481.76
1637496000000.0,3.91,3.98,3.88,3.95,68341.14
1637499600000.0,3.93,3.97,3.9,3.91,56000.44
1637503200000.0,3.92,3.93,3.83,3.86,125013.15
1637506800000.0,3.86,3.94,3.81,3.86,185793.44
1637510400000.0,3.87,3.92,3.77,3.89,168826.42
1637514000000.0,3.89,3.99,3.88,3.95,131488.71
1637517600000.0,3.97,4.09,3.89,3.9,251581.21
1637521200000.0,3.91,3.92,3.81,3.83,132456.94
1637524800000.0,3.84,3.85,3.77,3.79,138998.38
1637528400000.0,3.8,3.81,3.74,3.77,151367.86
1637532000000.0,3.77,3.84,3.73,3.74,105591.07
1637535600000.0,3.74,3.85,3.74,3.78,101003.47
1637539200000.0,3.79,3.8,3.73,3.74,117996.47
1637542800000.0,3.74,3.75,3.64,3.66,139745.73
1637546400000.0,3.66,4.35,3.66,4.23,1292910.41
1637550000000.0,4.24,4.39,4.06,4.17,766317.83
1637553600000.0,4.17,5.44,4.15,4.95,3819029.58
1637557200000.0,4.94,5.93,4.86,4.96,4519240.38
1637560800000.0,4.94,5.35,4.86,5.17,2170617.89
1637564400000.0,5.17,5.55,4.51,4.74,1866735.03
1637568000000.0,4.74,4.88,4.46,4.53,945594.08
1637571600000.0,4.53,4.58,4.25,4.27,422717.94
1637575200000.0,4.27,4.49,4.26,4.32,385334.5
1637578800000.0,4.34,4.47,4.2,4.46,294527.69
1637582400000.0,4.46,4.85,4.44,4.64,560272.05
1637586000000.0,4.64,5.68,4.62,5.27,1686195.71
1637589600000.0,5.26,5.28,4.8,5.19,1354410.28
1637593200000.0,5.18,5.55,5.11,5.16,1423568.19
1637596800000.0,5.17,5.3,4.92,5.14,985731.27
1637600400000.0,5.14,5.19,4.84,4.95,742604.48
1637604000000.0,4.95,5.04,4.67,4.91,505236.08
1637607600000.0,4.91,5.2,4.84,4.87,842950.07
1637611200000.0,4.87,5.25,4.84,5.23,635349.79
1637614800000.0,5.22,5.4,4.99,5.23,1019714.32
1637618400000.0,5.24,5.38,5.04,5.33,1021978.46
1637622000000.0,5.33,5.47,5.15,5.21,1175684.28
1637625600000.0,5.19,5.23,5.0,5.18,778208.42
1637629200000.0,5.18,5.84,5.17,5.82,2050806.28
1637632800000.0,5.81,5.82,5.13,5.28,1431042.9
1637636400000.0,5.29,5.33,5.08,5.21,869619.16
1637640000000.0,5.19,5.25,4.85,4.97,911028.05
1637643600000.0,4.97,5.02,4.76,4.99,918644.2
1637647200000.0,4.99,5.06,4.72,4.73,306098.22
1637650800000.0,4.74,4.9,4.73,4.89,163938.17
1637654400000.0,4.9,5.19,4.89,5.12,179753.74
1637658000000.0,5.11,5.13,4.75,4.81,184489.31
1637661600000.0,4.81,4.88,4.79,4.79,143360.9
1637665200000.0,4.79,5.14,4.77,5.07,253463.11
1637668800000.0,5.09,5.15,4.81,4.84,173805.99
1637672400000.0,4.82,5.24,4.82,4.95,272649.63
1637676000000.0,4.95,5.15,4.89,4.92,331760.08
1637679600000.0,4.95,5.03,4.85,4.93,290439.88
1637683200000.0,4.93,5.01,4.85,4.9,274834.4
