timestamp,open,high,low,close,volume
1738022400000.0,20.95,23.51,16.62,19.09,61035.089
1738026000000.0,19.1,19.74,14.22,14.87,135361.797
1738029600000.0,14.88,17.0,13.0,13.06,96832.942
1738033200000.0,13.06,18.05,12.0,16.17,181374.553
1738036800000.0,16.16,18.49,14.71,15.7,124547.986
1738040400000.0,15.69,19.24,15.16,18.1,155405.293
1738044000000.0,18.26,18.84,16.48,17.33,93115.186
1738047600000.0,17.27,17.53,14.01,14.2,137104.275
1738051200000.0,14.2,15.87,12.95,15.1,173315.158
1738054800000.0,15.09,16.19,13.66,14.06,139979.818
1738058400000.0,14.07,15.8,13.05,15.11,169609.116
1738062000000.0,15.11,17.01,14.84,16.22,157116.15
1738065600000.0,16.21,16.5,14.13,14.52,132718.065
1738069200000.0,14.52,14.94,13.3,13.58,169790.986
1738072800000.0,13.56,13.67,12.5,13.04,176120.819
1738076400000.0,13.03,14.0,12.6,13.1,147513.971
1738080000000.0,13.1,14.55,11.71,11.88,288890.869
1738083600000.0,11.9,12.53,10.17,12.23,392656.731
1738087200000.0,12.23,12.35,10.16,11.0,252082.415
1738090800000.0,11.0,11.07,9.8,10.86,231997.657
1738094400000.0,10.85,11.35,10.13,10.14,137901.893
1738098000000.0,10.14,10.15,8.8,9.35,296685.987
1738101600000.0,9.39,9.92,9.01,9.3,158088.283
1738105200000.0,9.3,9.93,8.92,9.21,111244.672
1738108800000.0,9.19,11.55,9.11,11.14,322200.718
1738112400000.0,11.16,11.21,9.85,10.24,186067.939
1738116000000.0,10.21,11.83,10.21,11.75,210189.424
1738119600000.0,11.72,12.06,10.92,11.37,229752.822
1738123200000.0,11.4,11.51,10.22,10.36,147981.66
1738126800000.0,10.33,10.57,9.58,10.36,183479.255
1738130400000.0,10.32,10.7,9.92,10.64,99548.09
1738134000000.0,10.65,11.22,10.35,11.09,97112.092
1738137600000.0,11.09,11.12,9.7,9.9,147368.472
1738141200000.0,9.88,10.43,9.4,9.67,174994.176
1738144800000.0,9.71,9.82,9.23,9.76,90689.281
1738148400000.0,9.8,9.86,9.3,9.64,39322.266
1738152000000.0,9.64,10.27,9.44,9.68,121980.831
1738155600000.0,9.7,9.87,9.03,9.15,103082.938
1738159200000.0,9.12,9.29,8.64,9.2,198372.781
1738162800000.0,9.2,9.22,8.61,8.81,170911.039
1738166400000.0,8.83,9.2,8.77,9.07,193802.88
1738170000000.0,9.06,9.49,8.9,9.02,209161.777
1738173600000.0,9.02,9.63,8.47,9.54,265953.118
1738177200000.0,9.56,9.65,8.78,9.41,221406.822
1738180800000.0,9.4,10.5,9.3,9.7,308932.118
1738184400000.0,9.73,9.84,9.26,9.32,174172.349
1738188000000.0,9.32,9.58,9.08,9.17,84997.88
1738191600000.0,9.17,9.72,9.13,9.4,105577.653
1738195200000.0,9.39,9.43,8.76,9.18,249349.354
1738198800000.0,9.18,9.2,8.66,8.74,197216.784
1738202400000.0,8.77,8.8,8.26,8.32,195282.887
1738206000000.0,8.32,8.7,8.29,8.69,211567.534
1738209600000.0,8.68,8.68,8.02,8.11,230946.365
1738213200000.0,8.1,8.19,7.48,7.61,337505.815
1738216800000.0,7.6,7.89,7.51,7.69,143366.373
1738220400000.0,7.69,7.69,7.27,7.43,152418.579
1738224000000.0,7.42,7.57,7.35,7.49,82413.934
1738227600000.0,7.5,7.63,7.37,7.53,65480.674
1738231200000.0,7.53,7.95,7.46,7.57,86235.28
1738234800000.0,7.57,7.89,7.54,7.85,85151.088
1738238400000.0,7.83,7.83,7.54,7.67,84490.611
1738242000000.0,7.67,7.82,7.5,7.61,112436.786
1738245600000.0,7.6,8.19,7.54,8.16,156381.657
1738249200000.0,8.15,8.28,7.86,7.89,173473.522
1738252800000.0,7.92,7.95,7.75,7.88,75779.33
1738256400000.0,7.86,7.88,7.43,7.55,108240.488
1738260000000.0,7.53,7.64,7.27,7.36,127696.1
